date,T_Occupancy,T_time
06-04-2022,2,12:54:09
06-04-2022,3,12:54:18
06-04-2022,1,12:54:49
06-04-2022,1,12:55:31
06-04-2022,1,12:55:41
06-04-2022,1,12:55:51
06-04-2022,3,12:56:00
06-04-2022,1,12:56:10
06-04-2022,1,12:56:32
06-04-2022,1,12:56:39
06-04-2022,1,12:57:28
06-04-2022,3,12:58:12
06-04-2022,1,12:58:24
06-04-2022,2,12:58:42
06-04-2022,1,12:58:51
06-04-2022,1,12:58:58
06-04-2022,1,12:59:08
06-04-2022,2,12:59:20
06-04-2022,2,12:59:31
06-04-2022,1,13:00:19
06-04-2022,6,13:00:27
06-04-2022,1,13:00:30
06-04-2022,2,13:01:08
06-04-2022,2,13:01:39
06-04-2022,3,13:01:47
06-04-2022,3,13:01:56
06-04-2022,3,13:02:30
06-04-2022,3,13:03:14
06-04-2022,3,13:03:22
06-04-2022,5,13:04:17
06-04-2022,3,13:04:40
06-04-2022,2,13:05:51
06-04-2022,2,13:06:00
06-04-2022,3,13:06:27
06-04-2022,2,13:06:52
06-04-2022,2,13:07:17
06-04-2022,2,13:07:27
06-04-2022,1,13:07:50
06-04-2022,2,13:07:57
06-04-2022,1,13:09:06
06-04-2022,1,13:09:15
06-04-2022,1,13:10:22
06-04-2022,1,13:10:54
06-04-2022,1,13:11:13
06-04-2022,1,13:11:24
06-04-2022,1,13:11:39
06-04-2022,1,13:12:20
06-04-2022,1,13:12:27
06-04-2022,0,13:13:21
06-04-2022,1,14:27:31
06-04-2022,3,14:27:33
06-04-2022,1,14:30:52
06-04-2022,0,14:31:11
06-04-2022,1,14:32:10
06-04-2022,0,14:32:17
07-04-2022,1,12:17:56
07-04-2022,0,12:18:25
07-04-2022,1,18:17:28
07-04-2022,0,18:17:29
07-04-2022,1,18:17:49
07-04-2022,0,18:17:57
07-04-2022,1,18:19:15
07-04-2022,0,18:19:16
07-04-2022,1,18:19:22
07-04-2022,0,18:19:45
07-04-2022,1,18:20:18
07-04-2022,1,18:20:27
07-04-2022,0,18:20:41
07-04-2022,1,18:21:03
07-04-2022,1,18:21:09
07-04-2022,0,18:21:43
07-04-2022,2,18:24:11
07-04-2022,1,18:24:13
07-04-2022,1,18:25:17
07-04-2022,1,18:25:37
07-04-2022,0,18:25:40
07-04-2022,1,18:27:59
07-04-2022,1,18:28:09
07-04-2022,0,18:28:18
08-04-2022,2,19:07:31
08-04-2022,1,19:08:14
08-04-2022,1,19:16:01
08-04-2022,0,19:16:04
08-04-2022,2,19:20:07
08-04-2022,1,19:20:10
08-04-2022,2,19:21:21
08-04-2022,0,19:21:27
08-04-2022,2,19:33:10
08-04-2022,1,19:33:41
08-04-2022,2,19:34:13
08-04-2022,2,19:34:18
08-04-2022,1,19:50:16
08-04-2022,1,19:50:41
08-04-2022,2,19:51:01
08-04-2022,1,19:51:03
